campaign_id,campaign_name,channel,date,impressions,clicks,conversions,cost,revenue,target_audience,region,ctr,conversion_rate,cpc,roi,cac
CMP_007588,Fall Awareness,Instagram,2026-01-23 18:06:32.560854,4654,183,13,617.69,551.03,Professionals (25-34),Asia Pacific,0.039321014181349374,0.07103825136612021,3.3753551912568307,-0.10791821140054085,47.51461538461539
CMP_002070,Q2 Retargeting,Email,2025-09-13 18:06:32.560854,2700,34,1,84.83,141.36,Adults (35-44),North America,0.012592592592592593,0.029411764705882353,2.495,0.6663916067428978,84.83
CMP_007622,Winter Sale,Email,2025-12-06 18:06:32.560854,61034,5320,111,17060.28,19175.08,Adults (35-44),North America,0.0871645312448799,0.02086466165413534,3.20681954887218,0.12396045082495732,153.69621621621621
CMP_002064,Winter Launch,LinkedIn,2025-10-31 18:06:32.560854,12357,308,22,654.08,3387.76,Adults (35-44),North America,0.024925143643279114,0.07142857142857142,2.123636363636364,4.1794275929549904,29.730909090909094
CMP_007734,Holiday Conversion,Google Ads,2026-02-14 18:06:32.560854,2715,32,2,78.84,243.75,Professionals (25-34),Europe,0.011786372007366482,0.0625,2.46375,2.091704718417047,39.42
CMP_003438,Holiday Retention,LinkedIn,2025-12-15 18:06:32.560854,13191,884,69,2103.49,11431.02,Adults (35-44),Europe,0.06701538928057009,0.07805429864253394,2.379513574660633,4.4343115489020635,30.485362318840576
CMP_006126,Q1 Promo,Facebook,2026-02-08 18:06:32.560854,8973,463,13,716.06,1303.26,Professionals (25-34),Asia Pacific,0.051599242170957314,0.028077753779697623,1.5465658747300215,0.8200430131553224,55.08153846153846
CMP_005101,Holiday Launch,Email,2025-10-27 18:06:32.560854,3763,339,13,172.16,1289.11,Adults (35-44),North America,0.09008769598724423,0.038348082595870206,0.5078466076696165,6.487860130111523,13.243076923076924
CMP_005500,Q3 Retention,Google Ads,2025-12-26 18:06:32.560854,8441,216,11,895.47,1676.03,Professionals (25-34),Europe,0.025589385143940293,0.05092592592592592,4.145694444444445,0.8716763263984275,81.40636363636364
CMP_004523,Spring Retargeting,Facebook,2026-03-06 18:06:32.560854,2125,31,0,116.64,0.0,Young Adults (18-24),North America,0.014588235294117647,0.0,3.7625806451612904,-1.0,0.0
CMP_000316,Summer Promo,LinkedIn,2026-01-14 18:06:32.560854,138481,10548,515,33699.12,53718.99,Young Adults (18-24),Latin America,0.07616929398256801,0.048824421691315886,3.194835039817975,0.5940769373206183,65.43518446601942
CMP_006179,Q1 Promo,Google Ads,2025-07-17 18:06:32.560854,6098,79,2,123.26,352.95,Professionals (25-34),Latin America,0.012955067235159068,0.02531645569620253,1.5602531645569622,1.8634593542106117,61.63
CMP_006305,Winter Launch,Google Ads,2025-10-03 18:06:32.560854,11493,954,91,4006.42,1676.03,Adults (35-44),North America,0.08300704776820673,0.09538784067085954,4.199601677148847,-0.5816639293933238,44.026593406593406
CMP_000458,Fall Awareness,Email,2025-11-03 18:06:32.560854,9795,793,84,2020.11,11552.32,Professionals (25-34),Asia Pacific,0.08095967330270547,0.10592686002522068,2.5474274905422445,4.718658884912208,24.04892857142857
CMP_000539,Q2 Retention,LinkedIn,2025-10-28 18:06:32.560854,3776,262,30,491.63,3332.0,Adults (35-44),Latin America,0.06938559322033898,0.11450381679389313,1.8764503816793894,5.777454589833818,16.387666666666668
CMP_005310,Holiday Retention,Google Ads,2026-03-07 18:06:32.560854,184052,5584,593,14195.76,37819.7,Seniors (45+),Latin America,0.030339251950535717,0.10619627507163323,2.542220630372493,1.6641546489937837,23.938887015177066
CMP_006476,Fall Conversion,Google Ads,2026-03-15 18:06:32.560854,37144,2575,295,10889.55,25757.56,Seniors (45+),North America,0.06932479000646134,0.1145631067961165,4.228951456310679,1.3653465937527265,36.91372881355932
CMP_001057,Q3 Retention,Facebook,2026-02-02 18:06:32.560854,1938,43,2,136.68,177.1,Adults (35-44),Europe,0.02218782249742002,0.046511627906976744,3.178604651162791,0.2957272461223294,68.34
