feature,importance
clicks,0.6823835435091286
conversion_rate,0.1437158957931318
ctr,0.047014656462776964
impressions,0.03709975861080361
cost,0.025996908990928814
cpc,0.022271003603075244
target_audience_Professionals (25-34),0.007333462232852754
channel_Instagram,0.005168798963807155
region_North America,0.00487551348599409
target_audience_Young Adults (18-24),0.0045303699465811306
channel_LinkedIn,0.004064803140805773
channel_Google Ads,0.003990244824286581
region_Europe,0.0030838857689925933
target_audience_Seniors (45+),0.0030744902559348827
region_Latin America,0.0023898704155214286
channel_Facebook,0.0020291014538565515
target_audience_Unknown,0.00097769254152212
